TEMPLATE_ID,FILE_NAME,FRAME,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y
2,Aaron_Patterson/Aaron_Patterson_0001.jpg,,101.988,122.656,140.165,107.103,125.689,138.51
4,Aaron_Pena/Aaron_Pena_0001.jpg,,102.236,119.149,145.448,105.731,128.889,141.681
10,Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.jpg,,104.872,112.698,145.804,116.249,123.813,145.009
20,Abdullah_Nasseef/Abdullah_Nasseef_0001.jpg,,106.248,112.003,143.627,119.155,126.63,145.774
22,Abel_Aguilar/Abel_Aguilar_0001.jpg,,105.869,113.36,145.652,118.292,124.316,146.331
25,Abner_Martinez/Abner_Martinez_0001.jpg,,103.664,117.883,142.832,110.28,127.612,137.584
27,Aby_Har-Even/Aby_Har-Even_0001.jpg,,107.253,110.832,148.723,117.588,123.492,139.486
29,Adam_Freier/Adam_Freier_0001.jpg,,105.701,107.774,143.672,116.32,122.956,142.372
30,Adam_Herbert/Adam_Herbert_0001.jpg,,105.112,116.19,143.107,112.362,128.486,141.739
31,Adam_Kennedy/Adam_Kennedy_0001.jpg,,98.7707,109.917,146.858,110.424,129.321,142.635
32,Adam_Mair/Adam_Mair_0001.jpg,,107.181,112.617,146.44,111.293,128.342,143.096
33,Adam_Rich/Adam_Rich_0001.jpg,,103.055,116.063,146.205,118.254,121.803,144.686
37,Adelina_Avila/Adelina_Avila_0001.jpg,,103.17,114.384,142.759,102.936,130.724,130.757
45,Adrian_Murrell/Adrian_Murrell_0001.jpg,,105.815,116.432,146.739,114.688,122.806,144.963
51,Afton_Smith/Afton_Smith_0001.jpg,,106.092,114.065,146.5,116.315,122.554,140.454
53,Agnelo_Queiroz/Agnelo_Queiroz_0001.jpg,,105.636,118.114,142.149,113.76,119.471,142.891
55,Ahmad_Jbarah/Ahmad_Jbarah_0001.jpg,,102.504,108.234,150.042,111.072,125.941,141.448
59,Ahmed_Ghazi/Ahmed_Ghazi_0001.jpg,,104.702,115.353,143.332,117.013,123.718,143.884
60,Ahmed_Ibrahim_Bilal/Ahmed_Ibrahim_Bilal_0001.jpg,,99.2656,110.39,148.848,112.959,123.703,136.168
